Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"2024-10-19 00:00:00";373;;;;29
"2024-10-20 00:00:00";396;;;;26
"2024-10-21 00:00:00";469;;;;40
"2024-10-22 00:00:00";501;;;;42
"2024-10-23 00:00:00";387;;;;36
"2024-10-24 00:00:00";398;;;;29
"2024-10-25 00:00:00";413;;;;43
"2024-10-26 00:00:00";437;;;;49
"2024-10-27 00:00:00";417;;;;53
"2024-10-28 00:00:00";259;;;;39
"2024-10-29 00:00:00";370;;;;31
"2024-10-30 00:00:00";392;;;;32
"2024-10-31 00:00:00";157;;;;21
"2024-11-01 00:00:00";315;;;;27
"2024-11-02 00:00:00";248;;;;20
"2024-11-03 00:00:00";256;;;;13
"2024-11-04 00:00:00";439;;;;23
"2024-11-05 00:00:00";556;;;;37
"2024-11-06 00:00:00";696;;;;59
"2024-11-07 00:00:00";701;;;;74
"2024-11-08 00:00:00";690;;;;73
"2024-11-09 00:00:00";785;;;;59
"2024-11-10 00:00:00";842;;;;70
"2024-11-11 00:00:00";811;;;;48
"2024-11-12 00:00:00";754;;;;42
"2024-11-13 00:00:00";629;;;;29
"2024-11-14 00:00:00";703;;;;29
"2024-11-15 00:00:00";497;;;;30
"2024-11-16 00:00:00";780;;;;44
"2024-11-17 00:00:00";635;;;;37
"2024-11-18 00:00:00";683;;;;39
"2024-11-19 00:00:00";732;32,9;19,4;69,8;71
"2024-11-20 00:00:00";335;11,4;14,7;32,1;27
"2024-11-21 00:00:00";327;9,3;18,4;32,6;16
"2024-11-22 00:00:00";401;7,2;14,3;25,3;14
"2024-11-23 00:00:00";484;13,8;19,2;40,3;16
"2024-11-24 00:00:00";599;11,1;20,0;36,9;32
"2024-11-25 00:00:00";647;12,7;17,8;37,2;45
"2024-11-26 00:00:00";519;10,1;15,1;30,6;41
"2024-11-27 00:00:00";686;28,9;20,2;64,5;57
"2024-11-28 00:00:00";667;22,4;13,6;47,9;40
"2024-11-29 00:00:00";356;8,2;12,4;25,0;13
"2024-11-30 00:00:00";474;10,1;16,5;31,9;22
"2024-12-01 00:00:00";663;26,0;20,6;60,5;26
"2024-12-02 00:00:00";1065;55,7;23,7;109,0;52
"2024-12-03 00:00:00";887;28,5;20,6;64,2;54
"2024-12-04 00:00:00";515;10,2;14,9;30,5;34
"2024-12-05 00:00:00";630;23,3;17,2;52,8;41
"2024-12-06 00:00:00";773;21,0;16,0;48,2;48
"2024-12-07 00:00:00";674;18,3;15,5;43,4;31
"2024-12-08 00:00:00";529;8,0;11,4;23,7;24
"2024-12-09 00:00:00";655;15,8;15,6;39,8;22
"2024-12-10 00:00:00";697;18,2;13,1;41,0;25
"2024-12-11 00:00:00";611;15,6;13,4;37,2;17
"2024-12-12 00:00:00";671;14,5;15,7;37,9;31
"2024-12-13 00:00:00";676;9,3;15,0;29,1;32
"2024-12-14 00:00:00";733;13,6;14,8;35,6;36
"2024-12-15 00:00:00";589;5,8;11,5;20,3;14
"2024-12-16 00:00:00";484;8,9;15,0;28,7;10
"2024-12-17 00:00:00";469;12,2;15,9;34,6;10
"2024-12-18 00:00:00";732;29,7;20,3;65,8;31
"2024-12-19 00:00:00";830;20,7;15,9;47,5;51
"2024-12-20 00:00:00";559;7,8;12,5;24,4;18
"2024-12-21 00:00:00";589;10,3;16,0;31,9;16
"2024-12-22 00:00:00";693;12,1;17,1;35,7;23
"2024-12-23 00:00:00";740;9,3;13,9;28,2;20
"2024-12-24 00:00:00";583;4,6;12,7;19,8;17
"2024-12-25 00:00:00";634;9,3;16,1;30,3;17
"2024-12-26 00:00:00";833;11,9;18,0;36,2;29
"2024-12-27 00:00:00";1041;23,8;20,9;57,4;52
"2024-12-28 00:00:00";1312;38,3;23,6;82,3;75
"2024-12-29 00:00:00";1414;27,4;16,9;58,8;81
"2024-12-30 00:00:00";1274;20,3;17,1;48,1;63
"2024-12-31 00:00:00";1101;10,5;15,5;31,6;41
