Dátum,Utolsó ár
2018-09-26,35996.04
2018-09-27,36471.35
2018-09-28,37171.41
2018-10-01,36883.49
2018-10-02,36876.75
2018-10-03,37212.94
2018-10-04,37146.73
2018-10-05,36945.25
2018-10-08,36768.02
2018-10-09,37109.24
2018-10-10,36821.12
2018-10-11,35904.54
2018-10-12,36347.89
2018-10-15,36564.15
2018-10-16,37445.67
2018-10-17,37399.11
2018-10-18,37485.01
2018-10-19,37185.93
2018-10-22,36746.01
2018-10-23,36599.37
2018-10-24,36452.74
2018-10-25,36617.54
2018-10-26,35937.61
2018-10-29,36110.12
2018-10-30,36444.72
2018-10-31,37155.21
2018-11-01,37283.14
2018-11-02,37411.07
2018-11-05,37794.87
2018-11-06,37666
2018-11-07,38198
2018-11-08,38713.45
2018-11-09,38586.63
2018-11-12,38108.46
2018-11-13,38252.65
2018-11-14,39115.56
2018-11-15,39070.97
2018-11-16,39328.39
2018-11-19,39323.01
2018-11-20,39058.3
2018-11-21,39431.33
2018-11-22,39489.38
2018-11-23,39379.78
2018-11-26,39598.29
2018-11-27,39601.7
2018-11-28,39656.25
2018-11-29,39861.63
2018-11-30,40109.37
2018-12-03,40579.82
2018-12-04,40945.47
2018-12-05,40670.44
2018-12-06,39747.13
2018-12-07,39384.56
2018-12-10,39238.44
2018-12-11,39860.23
2018-12-12,39887.22
2018-12-13,40041.71
2018-12-14,40125.72
2018-12-17,39675.76
2018-12-18,39475.61
2018-12-19,39966.19
2018-12-20,39592.68
2018-12-21,39578.63
2018-12-24,39292.57
2018-12-25,39197.22
2018-12-26,39101.87
2018-12-27,39006.52
2018-12-28,39138.95
2018-12-31,39496.02
2019-01-01,39615.04
2019-01-02,39734.06
2019-01-03,39672.6
2019-01-04,40145.18
2019-01-07,40569.47
2019-01-08,40809.82
2019-01-09,40784.27
2019-01-10,40795.5
2019-01-11,40886.06
2019-01-14,40667.65
2019-01-15,40600.26
2019-01-16,40933.04
2019-01-17,41180.05
2019-01-18,41503.91
2019-01-21,40893.71
2019-01-22,40963.71
2019-01-23,40818.69
2019-01-24,40890.94
2019-01-25,40944.82
2019-01-28,41332.31
2019-01-29,41146
2019-01-30,40862.97
2019-01-31,40855.56
2019-02-01,40973.34
2019-02-04,40856.97
2019-02-05,40474.39
2019-02-06,40597.26
2019-02-07,40173.73
2019-02-08,39704.61
2019-02-11,39769.48
2019-02-12,40488.09
2019-02-13,40221.18
2019-02-14,39898.65
2019-02-15,40179.84
2019-02-18,40653.39
2019-02-19,40560.44
2019-02-20,40582.83
2019-02-21,40721.48
2019-02-22,40814.6
2019-02-25,40987.95
2019-02-26,40819.08
2019-02-27,40525.28
2019-02-28,40333.04
2019-03-01,40170.66
2019-03-04,40593.48
2019-03-05,40718.5
2019-03-06,41086.9
2019-03-07,40625.3
2019-03-08,40288.44
2019-03-11,40819.55
2019-03-12,40612.5
2019-03-13,40887.58
2019-03-14,41335.02
2019-03-15,41522.52
2019-03-18,42085.01
2019-03-19,42014.16
2019-03-20,41964.35
2019-03-21,41955.75
2019-03-22,41931.67
2019-03-25,41605.17
2019-03-26,41740.97
2019-03-27,41316.2
2019-03-28,41413.91
2019-03-29,41683.78
2019-04-01,42057.33
2019-04-02,42213.35
2019-04-03,42193.97
2019-04-04,41870.44
2019-04-05,41841.92
2019-04-08,41826.9
2019-04-09,42063.94
2019-04-10,42225.87
2019-04-11,42693.52
2019-04-12,42940.74
2019-04-15,42815.92
2019-04-16,42826.3
2019-04-17,43004.51
2019-04-18,42810.11
2019-04-19,42897.17
2019-04-22,43158.37
2019-04-23,43245.43
2019-04-24,43563.38
2019-04-25,43053.87
2019-04-26,43064.4
2019-04-29,42469.84
2019-04-30,42520.11
2019-05-01,42443.47
2019-05-02,42366.82
2019-05-03,41775.36
2019-05-06,41547.35
2019-05-07,41084.57
2019-05-08,41350.33
2019-05-09,41207.46
2019-05-10,41068.21
2019-05-13,40537.85
2019-05-14,40084.64
2019-05-15,40291.35
2019-05-16,40288.28
2019-05-17,39877.82
2019-05-20,39630.71
2019-05-21,39575.98
2019-05-22,40184.85
2019-05-23,40010.72
2019-05-24,40022.62
2019-05-27,40207.91
2019-05-28,40466.85
2019-05-29,40916.42
2019-05-30,41075.87
2019-05-31,40904.12
2019-06-03,41114.31
2019-06-04,41157.02
2019-06-05,41073.62
2019-06-06,41000.04
2019-06-07,41159.57
2019-06-10,41215.89
2019-06-11,41234.66
2019-06-12,40592.32
2019-06-13,40469.8
2019-06-14,40588.18
2019-06-17,40764.49
2019-06-18,40922.41
