StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        65305; 20120901;20250606; 47.2092;  21.5383;     92.0;Berettyóújfalu                          ;Hajdú-Bihar           ;EOR
        65403; 20120901;20250606; 47.2778;  21.7972;     97.0;Pocsaj                                  ;Hajdú-Bihar           ;EOR
        65514; 20120901;20250606; 47.0897;  21.0900;     81.0;Szeghalom Töviskes                      ;Békés                 ;EOR
        65609; 20120901;20250606; 47.1081;  21.3194;     87.0;Darvas                                  ;Hajdú-Bihar           ;EOR
        65700; 19971022;20250606; 47.0197;  21.5942;     94.5;Körösszakál                             ;Hajdú-Bihar           ;EOR
        66103; 20050624;20250606; 46.9778;  21.0544;     84.4;Körösladány                             ;Békés                 ;EOR
        66105; 20120901;20250606; 46.8467;  21.1011;     80.0;Mezőberény Hosszúfok                    ;Békés                 ;EOR
        66106; 20120901;20250606; 46.9858;  21.1839;     84.0;Szeghalom Szivattyútelep                ;Békés                 ;EOR
        66210; 20120901;20250606; 46.8375;  21.2603;     85.0;Bélmegyer Gereblyés                     ;Békés                 ;EOR
        66211; 20120901;20250606; 46.9747;  21.4025;     88.0;Körösújfalu                             ;Békés                 ;EOR
        66300; 20120901;20250606; 46.8708;  21.5233;     88.0;Mezőgyán                                ;Békés                 ;EOR
        66508; 19950501;20021205; 46.6769;  21.1617;     86.1;Békéscsaba                              ;Békés                 ;EOR
        66518; 20021009;20101105; 46.6844;  21.1133;     85.2;Békéscsaba                              ;Békés                 ;EOR
        66519; 20101029;20191213; 46.6794;  21.1606;     86.8;Békéscsaba                              ;Békés                 ;EOR
        66520; 20120901;20250606; 46.7628;  21.1569;     82.0;Békés Dánfok                            ;Békés                 ;EOR
        66522; 20191213;20250606; 46.6797;  21.1608;     87.0;Békéscsaba repülőtér                    ;Békés                 ;EOR
        66613; 20120901;20250606; 46.7028;  21.4244;     85.0;Sarkad Malomfok                         ;Békés                 ;EOR
        67113; 20120901;20250606; 46.5331;  21.2319;     91.0;Elek                                    ;Békés                 ;EOR
        67207; 20120901;20250606; 46.6633;  21.2989;     87.0;Gyula Máriafalva                        ;Békés                 ;EOR
        67506; 20120901;20250606; 46.3600;  21.1647;     98.0;Dombegyház Gátőrház                     ;Békés                 ;EOR
        67507; 20140627;20250606; 46.4283;  21.2436;    100.2;Lőkösháza                               ;Békés                 ;EOR
        71505; 19960726;20250606; 48.3986;  22.1775;    103.5;Záhony                                  ;Szabolcs-Szatmár-Bereg;EOR
        71508; 20120901;20250606; 48.3461;  22.1142;    100.0;Tuzsér                                  ;Szabolcs-Szatmár-Bereg;EOR
        72213; 20120901;20250606; 48.3178;  22.2553;    104.0;Lónya                                   ;Szabolcs-Szatmár-Bereg;EOR
        72512; 20210614;20250606; 48.1006;  22.0461;    104.0;Nyírtass                                ;Szabolcs-Szatmár-Bereg;EOR
