20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
;február;1 952,9;296,6;2 249,5;1 425,4;3 674,9;61,2;13,2;53,1
;március;1 953,9;296,2;2 250,1;1 424,7;3 674,8;61,2;13,2;53,2
;április;1 993,7;255,2;2 248,9;1 425,6;3 674,5;61,2;11,3;54,3
;május;1 997,6;264,3;2 261,9;1 412,3;3 674,2;61,6;11,7;54,4
;június;1 980,5;281,4;2 261,9;1 412,1;3 674,0;61,6;12,4;53,9
;július;2 024,7;232,2;2 256,9;1 416,9;3 673,8;61,4;10,3;55,1
;augusztus;2 037,6;252,1;2 289,7;1 383,8;3 673,5;62,3;11,0;55,5
;szeptember;1 999,7;262,4;2 262,0;1 411,3;3 673,3;61,6;11,6;54,4
;október;2 026,9;240,6;2 267,4;1 405,6;3 673,1;61,7;10,6;55,2
;november;2 035,7;237,8;2 273,5;1 399,3;3 672,8;61,9;10,5;55,4
;december;1 969,4;266,1;2 235,6;1 437,1;3 672,6;60,9;11,9;53,6
2011.;január;1 978,2;280,5;2 258,7;1 413,6;3 672,4;61,5;12,4;53,9
;február;1 962,0;278,9;2 240,9;1 431,2;3 672,1;61,0;12,4;53,4
;március;1 977,8;269,9;2 247,7;1 424,2;3 671,9;61,2;12,0;53,9
;április;2 038,4;254,7;2 293,1;1 378,6;3 671,6;62,5;11,1;55,5
;május;2 024,4;244,3;2 268,6;1 402,8;3 671,4;61,8;10,8;55,1
;június;2 040,1;240,0;2 280,1;1 391,1;3 671,2;62,1;10,5;55,6
;július;2 070,1;241,7;2 311,8;1 359,1;3 670,9;63,0;10,5;56,4
;augusztus;2 043,7;241,4;2 285,0;1 385,7;3 670,7;62,3;10,6;55,7
;szeptember;2 059,7;240,9;2 300,7;1 369,8;3 670,5;62,7;10,5;56,1
;október;2 069,1;239,9;2 308,9;1 361,3;3 670,2;62,9;10,4;56,4
;november;2 050,5;233,3;2 283,8;1 389,4;3 673,2;62,2;10,2;55,8
;december;2 024,3;252,8;2 277,1;1 399,2;3 676,3;61,9;11,1;55,1
2012.;január;1 975,0;278,5;2 253,4;1 425,9;3 679,4;61,2;12,4;53,7
;február;1 991,1;282,4;2 273,4;1 405,3;3 678,7;61,8;12,4;54,1
;március;2 030,8;275,2;2 306,0;1 372,0;3 677,9;62,7;11,9;55,2
;április;2 035,6;260,1;2 295,7;1 381,3;3 677,1;62,4;11,3;55,4
;május;2 043,8;259,6;2 303,5;1 373,1;3 676,5;62,7;11,3;55,6
;június;2 066,5;252,0;2 318,5;1 357,7;3 676,1;63,1;10,9;56,2
;július;2 068,8;247,4;2 316,2;1 359,5;3 675,7;63,0;10,7;56,3
;augusztus;2 081,7;244,0;2 325,6;1 349,7;3 675,4;63,3;10,5;56,6
;szeptember;2 095,1;246,9;2 342,0;1 333,1;3 675,1;63,7;10,5;57,0
;október;2 091,2;242,4;2 333,6;1 341,3;3 674,9;63,5;10,4;56,9
;november;2 083,2;243,4;2 326,6;1 348,0;3 674,6;63,3;10,5;56,7
;december;2 062,1;258,2;2 320,3;1 354,1;3 674,4;63,1;11,1;56,1
2013.;január;1 978,8;287,9;2 266,7;1 407,1;3 673,8;61,7;12,7;53,9
;február;1 974,0;284,7;2 258,7;1 413,9;3 672,5;61,5;12,6;53,7
;március;2 056,5;267,8;2 324,3;1 347,0;3 671,3;63,3;11,5;56,0
;április;2 078,1;233,9;2 312,0;1 357,9;3 670,0;63,0;10,1;56,6
;május;2 096,4;229,0;2 325,4;1 343,4;3 668,8;63,4;9,8;57,1
;június;2 127,4;221,8;2 349,3;1 318,7;3 667,9;64,0;9,4;58,0
;július;2 140,6;224,3;2 364,9;1 302,0;3 666,9;64,5;9,5;58,4
;augusztus;2 135,7;222,6;2 358,3;1 307,7;3 666,0;64,3;9,4;58,3
;szeptember;2 144,4;216,6;2 361,0;1 304,1;3 665,1;64,4;9,2;58,5
;október;2 145,4;221,2;2 366,7;1 297,6;3 664,3;64,6;9,3;58,5
;november;2 157,9;200,0;2 357,9;1 305,3;3 663,2;64,4;8,5;58,9
;december;2 155,5;187,0;2 342,4;1 319,8;3 662,2;64,0;8,0;58,9
2014.;január;2 148,5;197,8;2 346,3;1 314,8;3 661,1;64,1;8,4;58,7
;február;2 171,7;196,8;2 368,5;1 291,0;3 659,5;64,7;8,3;59,3
;március;2 205,2;189,8;2 395,0;1 263,1;3 658,2;65,5;7,9;60,3
;április;2 216,4;183,7;2 400,1;1 256,6;3 656,7;65,6;7,7;60,6
;május;2 173,9;188,8;2 362,7;1 292,6;3 655,3;64,6;8,0;59,5
;június;2 223,1;190,9;2 414,0;1 240,0;3 654,0;66,1;7,9;60,8
;július;2 244,7;177,2;2 421,8;1 231,3;3 653,2;66,3;7,3;61,4
;augusztus;2 249,8;167,0;2 416,7;1 235,3;3 652,1;66,2;6,9;61,6
;szeptember;2 267,7;158,2;2 425,9;1 225,0;3 650,9;66,4;6,5;62,1
;október;2 251,2;167,1;2 418,3;1 231,4;3 649,7;66,3;6,9;61,7
;november;2 235,3;172,9;2 408,2;1 240,2;3 648,4;66,0;7,2;61,3
;december;2 233,3;170,5;2 403,8;1 243,3;3 647,1;65,9;7,1;61,2
2015.;január;2 202,3;183,4;2 385,7;1 259,8;3 645,5;65,4;7,7;60,4
;február;2 214,2;192,6;2 406,8;1 237,1;3 643,9;66,0;8,0;60,8
;március;2 237,0;185,7;2 422,7;1 219,7;3 642,4;66,5;7,7;61,4
;április;2 257,9;174,9;2 432,8;1 208,5;3 641,2;66,8;7,2;62,0
;május;2 269,0;160,2;2 429,2;1 210,3;3 639,5;66,7;6,6;62,3
;június;2 306,6;152,4;2 459,0;1 184,1;3 643,1;67,5;6,2;63,3
;július;2 317,7;150,8;2 468,5;1 173,8;3 642,3;67,8;6,1;63,6
;augusztus;2 321,0;141,2;2 462,2;1 179,2;3 641,3;67,6;5,7;63,7
;szeptember;2 324,9;143,4;2 468,3;1 172,1;3 640,4;67,8;5,8;63,9
;október;2 317,1;140,1;2 457,1;1 182,3;3 639,4;67,5;5,7;63,7
;november;2 329,0;145,8;2 474,8;1 163,7;3 638,5;68,0;5,9;64,0
;december;2 319,1;138,7;2 457,9;1 179,8;3 637,6;67,6;5,6;63,8
2016.;január;2 284,2;150,3;2 434,4;1 201,8;3 636,2;67,0;6,2;62,8
;február;2 310,8;151,5;2 462,3;1 171,0;3 633,3;67,8;6,2;63,6
;március;2 332,9;144,4;2 477,3;1 154,7;3 632,0;68,2;5,8;64,2
;április;2 353,1;135,4;2 488,5;1 142,0;3 630,5;68,5;5,4;64,8
;május;2 353,2;123,1;2 476,3;1 153,0;3 629,3;68,2;5,0;64,8
;június;2 377,2;116,7;2 494,0;1 140,3;3 634,3;68,6;4,7;65,4
;július;2 383,8;116,2;2 500,0;1 133,3;3 633,3;68,8;4,6;65,6
;augusztus;2 387,9;111,0;2 498,9;1 133,7;3 632,6;68,8;4,4;65,7
;szeptember;2 392,2;109,4;2 501,6;1 130,2;3 631,8;68,9;4,4;65,9
;október;2 400,2;106,2;2 506,4;1 124,8;3 631,1;69,0;4,2;66,1
;november;2 394,9;104,0;2 498,9;1 131,2;3 630,1;68,8;4,2;66,0
;december;2 380,7;104,4;2 485,1;1 144,0;3 629,0;68,5;4,2;65,6
2017.;január;2 383,3;110,6;2 494,0;1 133,4;3 627,4;68,8;4,4;65,7
;február;2 367,3;111,8;2 479,1;1 141,4;3 620,5;68,5;4,5;65,4
