Név,Dátum,Utolsó ár
BUX,2012.08.13.,17790.99
BUX,2012.08.14.,17631.34
BUX,2012.08.15.,17904.88
BUX,2012.08.16.,17886.55
BUX,2012.08.17.,17711.08
BUX,2012.08.21.,17650.03
BUX,2012.08.22.,17543.47
BUX,2012.08.23.,17485.08
BUX,2012.08.24.,17387.11
BUX,2012.08.27.,17502.06
BUX,2012.08.28.,17385.16
BUX,2012.08.29.,17344.84
BUX,2012.08.30.,17319.04
BUX,2012.08.31.,17513.82
BUX,2012.09.03.,17592.14
BUX,2012.09.04.,17756.87
BUX,2012.09.05.,17839.19
BUX,2012.09.06.,17949.2
BUX,2012.09.07.,18235.82
BUX,2012.09.10.,18334.49
BUX,2012.09.11.,18604.96
BUX,2012.09.12.,18634.63
BUX,2012.09.13.,18382.26
BUX,2012.09.14.,19112.34
BUX,2012.09.17.,18952.27
BUX,2012.09.18.,18875.09
BUX,2012.09.19.,18740.68
BUX,2012.09.20.,18684.1
BUX,2012.09.21.,18637.15
BUX,2012.09.24.,18701.17
BUX,2012.09.25.,18671.93
BUX,2012.09.26.,18418.94
BUX,2012.09.27.,18687.43
BUX,2012.09.28.,18588.65
BUX,2012.10.01.,18785.81
BUX,2012.10.02.,18742.9
BUX,2012.10.03.,18927.65
BUX,2012.10.04.,19059.6
BUX,2012.10.05.,19124.46
BUX,2012.10.08.,18966.25
BUX,2012.10.09.,18865.1
BUX,2012.10.10.,18948.74
BUX,2012.10.11.,19149.07
BUX,2012.10.12.,19134.16
BUX,2012.10.15.,19194.94
BUX,2012.10.16.,19409.85
BUX,2012.10.17.,19272.64
BUX,2012.10.18.,18950.86
BUX,2012.10.19.,19029.21
BUX,2012.10.24.,18813.58
BUX,2012.10.25.,18992.96
BUX,2012.10.26.,18885.87
BUX,2012.10.29.,19109.79
BUX,2012.10.30.,19192.76
BUX,2012.10.31.,19220.49
BUX,2012.11.05.,19217.03
BUX,2012.11.06.,19196.13
BUX,2012.11.07.,18898.34
BUX,2012.11.08.,19073.25
BUX,2012.11.09.,19049.57
BUX,2012.11.12.,18992.62
BUX,2012.11.13.,18974.34
BUX,2012.11.14.,19078.73
BUX,2012.11.15.,18738.14
BUX,2012.11.16.,18416.36
BUX,2012.11.19.,18339.35
BUX,2012.11.20.,18057.86
BUX,2012.11.21.,18025.4
BUX,2012.11.22.,17747.81
BUX,2012.11.23.,17869.58
BUX,2012.11.26.,17835.61
BUX,2012.11.27.,17663.97
BUX,2012.11.28.,17634.96
BUX,2012.11.29.,17845.24
BUX,2012.11.30.,18265.23
BUX,2012.12.03.,18210.95
BUX,2012.12.04.,18132.88
BUX,2012.12.05.,18055.4
BUX,2012.12.06.,17792.09
BUX,2012.12.07.,17785.06
BUX,2012.12.10.,17744.29
BUX,2012.12.11.,17831.73
BUX,2012.12.12.,17805.54
BUX,2012.12.13.,17818.02
BUX,2012.12.14.,17848.59
BUX,2012.12.17.,17615.68
BUX,2012.12.18.,17799.74
BUX,2012.12.19.,17807.41
BUX,2012.12.20.,17862.1
BUX,2012.12.21.,17948.31
BUX,2012.12.27.,18069.89
BUX,2012.12.28.,18173.2
BUX,2013.01.02.,18487.51
BUX,2013.01.03.,18626.78
BUX,2013.01.04.,18660.29
BUX,2013.01.07.,18774.87
BUX,2013.01.08.,18650.14
BUX,2013.01.09.,18838.89
BUX,2013.01.10.,18871.93
BUX,2013.01.11.,18999.53
BUX,2013.01.14.,19140.05
BUX,2013.01.15.,19012.51
BUX,2013.01.16.,19186.94
BUX,2013.01.17.,19508.91
BUX,2013.01.18.,19585.15
BUX,2013.01.21.,19664.12
BUX,2013.01.22.,19211.19
BUX,2013.01.23.,19168.52
BUX,2013.01.24.,19184.75
BUX,2013.01.25.,19297.08
BUX,2013.01.28.,19445.53
BUX,2013.01.29.,19506.04
BUX,2013.01.30.,19394.57
BUX,2013.01.31.,19368.02
BUX,2013.02.01.,19358.16
BUX,2013.02.04.,19090.21
